epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7349,1.81908,5.08633,0.67849,2.25941,1.97772,0.74721,0.80488,0.83909,0.60872,0.1092,0.34146,0.08081,0.00963,0.83893,4.92096,0.63776,1.49305,1.16848,0.0002,0.0002,0.0002
2,61.1107,0.93881,4.4294,0.67431,0.95004,1.20533,0.82452,0.91463,0.91532,0.73355,0.12151,0.15854,0.06475,0.00692,0.75504,4.64219,0.62654,0.96457,1.18544,0.000411684,0.000411684,0.000411684
3,89.4185,0.85128,3.76023,0.66711,0.73175,1.15631,0.87328,0.86585,0.8833,0.6248,0.56122,0.45236,0.4554,0.0631,1.07495,4.21227,0.6323,1.20741,1.39088,0.000614656,0.000614656,0.000614656
4,118.006,0.93644,3.10544,0.67535,0.75458,1.19215,0.81973,0.72094,0.83953,0.5839,0.59648,0.63097,0.62379,0.13182,1.16302,3.70541,0.59029,1.21468,1.50026,0.000808916,0.000808916,0.000808916
5,146.615,0.88538,2.68891,0.6527,0.71614,1.16447,0.87062,0.84146,0.89746,0.62882,0.75524,0.73171,0.71416,0.20397,1.10206,3.34181,0.4729,1.96961,1.37814,0.000994464,0.000994464,0.000994464
6,174.899,0.82396,2.4427,0.64123,0.66287,1.10431,0.89528,0.79268,0.90084,0.6738,0.78151,0.69794,0.72291,0.19175,0.83786,3.06021,0.39605,1.43324,1.23283,0.0011713,0.0011713,0.0011713
7,203.632,0.87681,2.23605,0.64868,0.69499,1.16403,0.87022,0.68293,0.84511,0.61394,0.66772,0.7439,0.74726,0.37181,1.02885,2.74921,0.39054,1.35724,1.31248,0.00133942,0.00133942,0.00133942
8,231.778,0.89679,2.14532,0.62522,0.69624,1.12946,0.73438,0.86585,0.79471,0.5016,0.58669,0.69245,0.48789,0.15542,1.1208,3.32253,0.33449,1.08355,1.42898,0.00149884,0.00149884,0.00149884
9,260.238,0.80098,1.78614,0.58274,0.61363,1.08632,0.75275,0.87805,0.87579,0.58221,0.76384,0.89024,0.82996,0.29556,1.04496,2.58592,0.34012,0.88957,1.37557,0.00164954,0.00164954,0.00164954
10,288.751,0.80614,1.8789,0.59673,0.62298,1.10032,0.72905,0.80488,0.84065,0.59734,0.75045,0.80681,0.83695,0.36821,0.90572,2.36212,0.33442,1.00734,1.22903,0.0016436,0.0016436,0.0016436
11,316.934,0.78411,1.66142,0.60156,0.63131,1.09483,0.958,0.90244,0.95445,0.72154,0.88748,0.82927,0.84548,0.44231,0.8039,2.26039,0.31013,0.62748,1.18555,0.001604,0.001604,0.001604
12,345.042,0.76243,1.45568,0.57213,0.58671,1.06363,0.95128,0.95247,0.98742,0.803,0.74761,0.76829,0.68555,0.36117,0.69817,2.40421,0.21059,0.61214,1.10113,0.0015644,0.0015644,0.0015644
13,373.359,0.7704,1.48262,0.59267,0.60036,1.07347,0.94916,0.95122,0.9881,0.80384,0.85025,0.80488,0.77895,0.37581,0.63827,2.22572,0.22636,0.61045,1.02756,0.0015248,0.0015248,0.0015248
14,401.561,0.73555,1.30366,0.5746,0.56438,1.04287,0.91311,0.93902,0.93467,0.7873,0.86568,0.89024,0.88393,0.54545,0.71564,1.97175,0.26289,0.53174,1.09247,0.0014852,0.0014852,0.0014852
15,429.75,0.74147,1.24284,0.58349,0.59915,1.08969,0.84615,0.81707,0.88465,0.73772,0.81666,0.81484,0.86188,0.49138,0.73115,2.05307,0.33818,0.66778,1.07769,0.0014456,0.0014456,0.0014456
16,457.869,0.72125,1.12955,0.54927,0.5791,1.04249,0.88169,0.90885,0.92618,0.74849,0.89398,0.92552,0.91228,0.52693,0.83572,2.00884,0.28199,0.59336,1.19597,0.001406,0.001406,0.001406
17,486.215,0.71937,1.10161,0.55759,0.5411,1.03635,0.92886,0.95534,0.96138,0.79004,0.94247,0.95122,0.97218,0.71598,0.71392,1.08181,0.25783,0.53849,1.11247,0.0013664,0.0013664,0.0013664
18,514.562,0.73094,1.06322,0.53663,0.57373,1.04828,0.98714,0.93646,0.99108,0.83662,0.98714,0.93646,0.99108,0.70527,0.60961,0.94264,0.23963,0.48589,1.00389,0.0013268,0.0013268,0.0013268
19,542.811,0.70275,1.03127,0.54564,0.54047,1.053,0.9516,1,0.99126,0.86389,0.9516,1,0.99126,0.82525,0.55996,0.87771,0.23355,0.50293,0.99289,0.0012872,0.0012872,0.0012872
20,571.277,0.67014,0.91465,0.54614,0.51995,1.02453,0.95107,0.94819,0.97108,0.82497,0.97553,0.97239,0.99281,0.79449,0.65002,0.9261,0.2086,0.53935,1.07459,0.0012476,0.0012476,0.0012476
21,599.117,0.65066,0.95869,0.53974,0.52364,0.99915,0.93319,0.95122,0.95839,0.80804,0.92729,0.95122,0.96679,0.76833,0.67631,1.20876,0.23435,0.53192,1.09084,0.001208,0.001208,0.001208
22,627.455,0.64079,0.91339,0.54223,0.51138,1.01648,0.95233,0.97446,0.97956,0.81843,0.95745,0.97561,0.9839,0.85999,0.61979,0.75126,0.26761,0.44234,1.01708,0.0011684,0.0011684,0.0011684
23,655.556,0.64038,0.85134,0.53002,0.50188,1.01942,0.96419,0.98512,0.99271,0.83957,0.97613,0.99731,0.99332,0.88802,0.60818,0.62972,0.22629,0.46162,1.01777,0.0011288,0.0011288,0.0011288
24,683.68,0.63249,0.84603,0.52133,0.49023,1.00313,0.94822,1,0.9807,0.85318,0.94822,1,0.9807,0.80939,0.56718,0.73089,0.22791,0.44969,0.99625,0.0010892,0.0010892,0.0010892
25,712.041,0.60472,0.76794,0.52167,0.45828,0.98423,0.96044,1,0.98617,0.84769,0.96044,1,0.98617,0.88561,0.56017,0.5382,0.24887,0.45665,0.98759,0.0010496,0.0010496,0.0010496
26,740.366,0.6288,0.75699,0.54698,0.47571,1.01617,0.98791,0.99648,0.99416,0.8779,0.98791,0.99648,0.99416,0.91909,0.50527,0.4362,0.23898,0.39311,0.94132,0.00101,0.00101,0.00101
27,768.804,0.60821,0.79165,0.50202,0.47473,0.99803,0.98777,0.98527,0.99392,0.88455,0.98777,0.98527,0.99392,0.88904,0.47243,0.47961,0.24516,0.35326,0.91527,0.0009704,0.0009704,0.0009704
28,797.11,0.62555,0.66556,0.51846,0.49573,1.01647,0.98778,0.98546,0.99356,0.88606,0.98778,0.98546,0.99356,0.87145,0.49257,0.51888,0.22239,0.36131,0.92985,0.0009308,0.0009308,0.0009308
29,825.771,0.59652,0.62267,0.50213,0.47827,0.99686,0.97476,0.9878,0.99428,0.88464,0.97476,0.9878,0.99428,0.90614,0.48724,0.55634,0.24103,0.35277,0.92346,0.0008912,0.0008912,0.0008912
30,854.184,0.63937,0.64142,0.51148,0.50624,1.01964,0.96393,0.97769,0.99309,0.87933,0.97594,0.9894,0.99452,0.92717,0.49707,0.48391,0.27677,0.36202,0.93313,0.0008516,0.0008516,0.0008516
31,882.352,0.60668,0.63411,0.51186,0.4698,0.99189,0.97668,0.96341,0.9932,0.90148,0.98764,0.97424,0.99355,0.94615,0.47455,0.48083,0.25265,0.35384,0.91927,0.000812,0.000812,0.000812
32,910.759,0.57221,0.6083,0.49864,0.42891,0.97212,1,0.97257,0.99395,0.89158,1,0.97257,0.99418,0.941,0.50512,0.47308,0.25759,0.34038,0.93517,0.0007724,0.0007724,0.0007724
33,939.093,0.5667,0.52703,0.49322,0.43623,0.97366,0.99485,0.97561,0.9912,0.88592,0.99485,0.97561,0.99418,0.93604,0.52084,0.46995,0.25774,0.35108,0.93476,0.0007328,0.0007328,0.0007328
